File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF782GIY	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR493APD	TF ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0000992	ovary	tissue	Homo sapiens										CTCF-human	DNA						2016-12-13	ENCODE			450-650	1	1_1							/files/ENCFF149DIN/, /files/ENCFF235TEI/, /files/ENCFF356LFX/	411420	ENCODE Processing Pipeline	e0f59cdf469e11b765f656e7abe96414		https://www.encodeproject.org/files/ENCFF782GIY/@@download/ENCFF782GIY.bed.gz				released	s3://encode-public/2020/09/01/16850d07-1f9b-42cb-861e-83aeebe6d25e/ENCFF782GIY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/01/16850d07-1f9b-42cb-861e-83aeebe6d25e/ENCFF782GIY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	antibody characterized with exemption		
ENCFF062XMG	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR493APD	TF ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0000992	ovary	tissue	Homo sapiens										CTCF-human	DNA						2016-12-13	ENCODE			450-650	1	1_1							/files/ENCFF782GIY/	739113	ENCODE Processing Pipeline	2ccfd97f81128ee42b379dc7f428b6fa		https://www.encodeproject.org/files/ENCFF062XMG/@@download/ENCFF062XMG.bigBed				released	s3://encode-public/2020/09/01/8f28af79-259b-4b73-b02f-5dbcffb59c4d/ENCFF062XMG.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/09/01/8f28af79-259b-4b73-b02f-5dbcffb59c4d/ENCFF062XMG.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	antibody characterized with exemption		
ENCFF228SPF	bigWig	bigWig		signal p-value	GRCh38	ENCSR515LRI	TF ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0036149	suprapubic skin	tissue	Homo sapiens										CTCF-human	DNA						2016-07-11	ENCODE			450-650	1	1_1							/files/ENCFF671BNI/, /files/ENCFF781WTH/	1137050842	ENCODE Processing Pipeline	c5ee92395c5f955cc22ad730eb67117b		https://www.encodeproject.org/files/ENCFF228SPF/@@download/ENCFF228SPF.bigWig				released	s3://encode-public/2020/09/01/89e59b3d-7ebb-42c3-9d0f-570c2f385d2f/ENCFF228SPF.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/09/01/89e59b3d-7ebb-42c3-9d0f-570c2f385d2f/ENCFF228SPF.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, antibody characterized with exemption	poor library complexity, severe bottlenecking	
ENCFF642DLX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR515LRI	TF ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0036149	suprapubic skin	tissue	Homo sapiens										CTCF-human	DNA						2016-07-11	ENCODE			450-650	1	1_1							/files/ENCFF356LFX/, /files/ENCFF671BNI/, /files/ENCFF781WTH/	164144	ENCODE Processing Pipeline	ad9624dff7c86a99896c73f6713c5564		https://www.encodeproject.org/files/ENCFF642DLX/@@download/ENCFF642DLX.bed.gz				released	s3://encode-public/2020/09/01/ba27cf1c-9afd-40a8-a4b2-c9d97f76f767/ENCFF642DLX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/01/ba27cf1c-9afd-40a8-a4b2-c9d97f76f767/ENCFF642DLX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, antibody characterized with exemption	poor library complexity, severe bottlenecking	
ENCFF916QXW	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR515LRI	TF ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0036149	suprapubic skin	tissue	Homo sapiens										CTCF-human	DNA						2016-07-11	ENCODE			450-650	1	1_1							/files/ENCFF642DLX/	295965	ENCODE Processing Pipeline	4da4bbb8cd0c470ba5287fb41974d977		https://www.encodeproject.org/files/ENCFF916QXW/@@download/ENCFF916QXW.bigBed				released	s3://encode-public/2020/09/01/32051349-abf3-49da-bb8b-9b4a5bd9d90c/ENCFF916QXW.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/09/01/32051349-abf3-49da-bb8b-9b4a5bd9d90c/ENCFF916QXW.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, antibody characterized with exemption	poor library complexity, severe bottlenecking	
ENCFF654FSU	bigWig	bigWig		signal p-value	GRCh38	ENCSR449SEF	TF ChIP-seq	/human-donors/ENCDO271OUW/	UBERON:0001157	transverse colon	tissue	Homo sapiens										CTCF-human	DNA						2018-12-14	ENCODE		sonication (generic), none	200-600	1, 2	1_1, 1_2, 2_1, 2_2							/files/ENCFF234NNJ/, /files/ENCFF346JZT/, /files/ENCFF096UPQ/, /files/ENCFF672XGY/	1918454824	ENCODE Processing Pipeline	f805c821bf85e7a4b7d720e022c32311		https://www.encodeproject.org/files/ENCFF654FSU/@@download/ENCFF654FSU.bigWig				released	s3://encode-public/2020/09/23/a69181d8-615b-4ec2-8f14-4735f627dbaa/ENCFF654FSU.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/09/23/a69181d8-615b-4ec2-8f14-4735f627dbaa/ENCFF654FSU.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	antibody characterized with exemption, inconsistent platforms, borderline replicate concordance		
ENCFF046SHF	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR449SEF	TF ChIP-seq	/human-donors/ENCDO271OUW/	UBERON:0001157	transverse colon	tissue	Homo sapiens										CTCF-human	DNA						2018-12-14	ENCODE		sonication (generic), none	200-600	1, 2	1_1, 1_2, 2_1, 2_2							/files/ENCFF115EJR/	942363	ENCODE Processing Pipeline	a075ec2ada4061889e5f240ee9db981c		https://www.encodeproject.org/files/ENCFF046SHF/@@download/ENCFF046SHF.bigBed				released	s3://encode-public/2020/09/23/8f22ced4-6b06-4d87-b4cd-1b6a5680b96e/ENCFF046SHF.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/09/23/8f22ced4-6b06-4d87-b4cd-1b6a5680b96e/ENCFF046SHF.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	antibody characterized with exemption, inconsistent platforms, borderline replicate concordance		
ENCFF115EJR	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR449SEF	TF ChIP-seq	/human-donors/ENCDO271OUW/	UBERON:0001157	transverse colon	tissue	Homo sapiens										CTCF-human	DNA						2018-12-14	ENCODE		sonication (generic), none	200-600	1, 2	1_1, 1_2, 2_1, 2_2							/files/ENCFF346JZT/, /files/ENCFF356LFX/, /files/ENCFF234NNJ/, /files/ENCFF096UPQ/, /files/ENCFF672XGY/	526523	ENCODE Processing Pipeline	2139b51b039e0679c51d28573620202b		https://www.encodeproject.org/files/ENCFF115EJR/@@download/ENCFF115EJR.bed.gz				released	s3://encode-public/2020/09/23/9accd629-31de-4884-9be7-f53679af589a/ENCFF115EJR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/23/9accd629-31de-4884-9be7-f53679af589a/ENCFF115EJR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	antibody characterized with exemption, inconsistent platforms, borderline replicate concordance		
ENCFF797NOY	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR253ALG	TF ChIP-seq	/human-donors/ENCDO186XRB/	UBERON:0001264	pancreas	tissue	Homo sapiens										CTCF-human	DNA						2021-04-13	ENCODE		sonication (generic)	200-600	1	1_1, 1_2							/files/ENCFF982TKE/, /files/ENCFF556LPH/, /files/ENCFF356LFX/	482204	ENCODE Processing Pipeline	d7674d6c077c387e39f1b4c0788e06fe		https://www.encodeproject.org/files/ENCFF797NOY/@@download/ENCFF797NOY.bed.gz				released	s3://encode-public/2020/07/09/b088b4bc-1ef6-42c3-a4ec-cf34e68ac70a/ENCFF797NOY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/07/09/b088b4bc-1ef6-42c3-a4ec-cf34e68ac70a/ENCFF797NOY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.0 GRCh38	released	antibody characterized with exemption		
ENCFF719OUO	bigWig	bigWig		signal p-value	GRCh38	ENCSR253ALG	TF ChIP-seq	/human-donors/ENCDO186XRB/	UBERON:0001264	pancreas	tissue	Homo sapiens										CTCF-human	DNA						2021-04-13	ENCODE		sonication (generic)	200-600	1	1_1, 1_2							/files/ENCFF982TKE/, /files/ENCFF556LPH/	1046688267	ENCODE Processing Pipeline	3042b53e94efe802580b98aafe97961b		https://www.encodeproject.org/files/ENCFF719OUO/@@download/ENCFF719OUO.bigWig				released	s3://encode-public/2020/07/09/45b8b919-c175-460f-99da-d62b403808ae/ENCFF719OUO.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/07/09/45b8b919-c175-460f-99da-d62b403808ae/ENCFF719OUO.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.0 GRCh38	released	antibody characterized with exemption		
ENCFF372XNU	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR253ALG	TF ChIP-seq	/human-donors/ENCDO186XRB/	UBERON:0001264	pancreas	tissue	Homo sapiens										CTCF-human	DNA						2021-04-13	ENCODE		sonication (generic)	200-600	1	1_1, 1_2							/files/ENCFF797NOY/	884327	ENCODE Processing Pipeline	a39355b4313ed54ae2966c4f68bec4ec		https://www.encodeproject.org/files/ENCFF372XNU/@@download/ENCFF372XNU.bigBed				released	s3://encode-public/2020/07/09/93b65ef4-7bf2-46a8-bba3-76a43f9f6c7b/ENCFF372XNU.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/07/09/93b65ef4-7bf2-46a8-bba3-76a43f9f6c7b/ENCFF372XNU.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.0 GRCh38	released	antibody characterized with exemption		
ENCFF140FHE	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR505RTK	TF ChIP-seq	/human-donors/ENCDO411EVD/	UBERON:0002080	heart right ventricle	tissue	Homo sapiens										CTCF-human	DNA						2021-04-13	ENCODE		sonication (generic)	200-600	1	1_1, 1_2							/files/ENCFF356LFX/, /files/ENCFF193CSY/, /files/ENCFF723OBM/	659265	ENCODE Processing Pipeline	8319b28f5b75f2c64d1828c76bb128e5		https://www.encodeproject.org/files/ENCFF140FHE/@@download/ENCFF140FHE.bed.gz				released	s3://encode-public/2020/07/09/61cc0231-a10a-4b22-be6f-75e1edc820ac/ENCFF140FHE.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/07/09/61cc0231-a10a-4b22-be6f-75e1edc820ac/ENCFF140FHE.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.0 GRCh38	released	antibody characterized with exemption		
ENCFF688TDS	bigWig	bigWig		signal p-value	GRCh38	ENCSR505RTK	TF ChIP-seq	/human-donors/ENCDO411EVD/	UBERON:0002080	heart right ventricle	tissue	Homo sapiens										CTCF-human	DNA						2021-04-13	ENCODE		sonication (generic)	200-600	1	1_1, 1_2							/files/ENCFF193CSY/, /files/ENCFF723OBM/	719068361	ENCODE Processing Pipeline	1c432f429fc185bbb27ab786a5e8ca30		https://www.encodeproject.org/files/ENCFF688TDS/@@download/ENCFF688TDS.bigWig				released	s3://encode-public/2020/07/09/6ab38f34-114f-4c9a-b979-19abf9ede243/ENCFF688TDS.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/07/09/6ab38f34-114f-4c9a-b979-19abf9ede243/ENCFF688TDS.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.0 GRCh38	released	antibody characterized with exemption		
ENCFF022KFI	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR505RTK	TF ChIP-seq	/human-donors/ENCDO411EVD/	UBERON:0002080	heart right ventricle	tissue	Homo sapiens										CTCF-human	DNA						2021-04-13	ENCODE		sonication (generic)	200-600	1	1_1, 1_2							/files/ENCFF140FHE/	1110858	ENCODE Processing Pipeline	6f0dd9991cb22ebf867da03bfb5802af		https://www.encodeproject.org/files/ENCFF022KFI/@@download/ENCFF022KFI.bigBed				released	s3://encode-public/2020/07/09/7be8b94d-234d-48bd-bafb-a9eda2c33e2d/ENCFF022KFI.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/07/09/7be8b94d-234d-48bd-bafb-a9eda2c33e2d/ENCFF022KFI.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.0 GRCh38	released	antibody characterized with exemption		
ENCFF873FBD	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DPM	TF ChIP-seq	/human-donors/ENCDO001AAA/	EFO:0006270	AG04450	cell line	Homo sapiens										CTCF-human	DNA						2011-03-17	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF253PEY/, /files/ENCFF349NGX/, /files/ENCFF654YVI/, /files/ENCFF356LFX/	796921	ENCODE Processing Pipeline	1b8f16ad8781e492c4880548ded15e8e		https://www.encodeproject.org/files/ENCFF873FBD/@@download/ENCFF873FBD.bed.gz				released	s3://encode-public/2020/09/26/3372161d-7c01-4348-b7a3-42e6f69ed660/ENCFF873FBD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/26/3372161d-7c01-4348-b7a3-42e6f69ed660/ENCFF873FBD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length, control low read depth, low read depth, inconsistent platforms		
ENCFF917MYQ	bigWig	bigWig		signal p-value	GRCh38	ENCSR000DPM	TF ChIP-seq	/human-donors/ENCDO001AAA/	EFO:0006270	AG04450	cell line	Homo sapiens										CTCF-human	DNA						2011-03-17	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF253PEY/, /files/ENCFF349NGX/, /files/ENCFF654YVI/	531571241	ENCODE Processing Pipeline	ede8b54098a74734df92d422493dc879		https://www.encodeproject.org/files/ENCFF917MYQ/@@download/ENCFF917MYQ.bigWig				released	s3://encode-public/2020/09/26/d180b8b5-a3b7-4334-9cd6-55911fc10b72/ENCFF917MYQ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/09/26/d180b8b5-a3b7-4334-9cd6-55911fc10b72/ENCFF917MYQ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length, control low read depth, low read depth, inconsistent platforms		
ENCFF116DJL	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DPM	TF ChIP-seq	/human-donors/ENCDO001AAA/	EFO:0006270	AG04450	cell line	Homo sapiens										CTCF-human	DNA						2011-03-17	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF873FBD/	1387611	ENCODE Processing Pipeline	124ee0ef145f1d4b5ae0251422808333		https://www.encodeproject.org/files/ENCFF116DJL/@@download/ENCFF116DJL.bigBed				released	s3://encode-public/2020/09/26/aff4e966-a92a-4097-a3b5-29ff5e083a60/ENCFF116DJL.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/09/26/aff4e966-a92a-4097-a3b5-29ff5e083a60/ENCFF116DJL.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length, control low read depth, low read depth, inconsistent platforms		
ENCFF988TSY	bigWig	bigWig		signal p-value	GRCh38	ENCSR000DNI	TF ChIP-seq	/human-donors/ENCDO310AAA/, /human-donors/ENCDO309AAA/	UBERON:0002106	spleen	tissue	Homo sapiens										CTCF-human	DNA						2012-08-27	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF061SRP/, /files/ENCFF059JNI/	211621113	ENCODE Processing Pipeline	f71cb11a317246c2f911fb1c7194a4aa		https://www.encodeproject.org/files/ENCFF988TSY/@@download/ENCFF988TSY.bigWig				released	s3://encode-public/2017/04/09/73da6b2f-8195-4e2a-82b9-149b97021750/ENCFF988TSY.bigWig	https://datasetencode.blob.core.windows.net/dataset/2017/04/09/73da6b2f-8195-4e2a-82b9-149b97021750/ENCFF988TSY.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth	insufficient read depth, control insufficient read depth	missing control alignments
ENCFF068YLN	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR000DNI	TF ChIP-seq	/human-donors/ENCDO310AAA/, /human-donors/ENCDO309AAA/	UBERON:0002106	spleen	tissue	Homo sapiens										CTCF-human	DNA						2012-08-27	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF419RSJ/, /files/ENCFF350MHZ/, /files/ENCFF673PVL/, /files/ENCFF655NUL/	617040	ENCODE Processing Pipeline	e5782db28a71821e72311bc876197b00		https://www.encodeproject.org/files/ENCFF068YLN/@@download/ENCFF068YLN.bed.gz				released	s3://encode-public/2017/04/10/44384f1e-3bdb-4d91-aee9-38f1b0660708/ENCFF068YLN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/04/10/44384f1e-3bdb-4d91-aee9-38f1b0660708/ENCFF068YLN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth	insufficient read depth, control insufficient read depth	missing control alignments
ENCFF604DQF	bigBed narrowPeak	bigBed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR000DNI	TF ChIP-seq	/human-donors/ENCDO310AAA/, /human-donors/ENCDO309AAA/	UBERON:0002106	spleen	tissue	Homo sapiens										CTCF-human	DNA						2012-08-27	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF068YLN/	1158825	ENCODE Processing Pipeline	60623f73fa83a21e045078d86af27bcc		https://www.encodeproject.org/files/ENCFF604DQF/@@download/ENCFF604DQF.bigBed				released	s3://encode-public/2017/04/10/46762716-eb83-4a4e-8da8-fbeeffe20593/ENCFF604DQF.bigBed	https://datasetencode.blob.core.windows.net/dataset/2017/04/10/46762716-eb83-4a4e-8da8-fbeeffe20593/ENCFF604DQF.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth	insufficient read depth, control insufficient read depth	missing control alignments
ENCFF593BQT	bigWig	bigWig		signal p-value	GRCh38	ENCSR000DNI	TF ChIP-seq	/human-donors/ENCDO310AAA/, /human-donors/ENCDO309AAA/	UBERON:0002106	spleen	tissue	Homo sapiens										CTCF-human	DNA						2012-08-27	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF743PBT/, /files/ENCFF165RIV/, /files/ENCFF541FOB/	287404060	ENCODE Processing Pipeline	054063e3ee5c8fa1ed9565cfab000441		https://www.encodeproject.org/files/ENCFF593BQT/@@download/ENCFF593BQT.bigWig				released	s3://encode-public/2020/08/13/f9c36c04-93e3-41f9-8ee9-07c8c19bca4f/ENCFF593BQT.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/08/13/f9c36c04-93e3-41f9-8ee9-07c8c19bca4f/ENCFF593BQT.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth	insufficient read depth, control insufficient read depth	missing control alignments
ENCFF273TNH	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DNI	TF ChIP-seq	/human-donors/ENCDO310AAA/, /human-donors/ENCDO309AAA/	UBERON:0002106	spleen	tissue	Homo sapiens										CTCF-human	DNA						2012-08-27	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF743PBT/, /files/ENCFF356LFX/, /files/ENCFF165RIV/, /files/ENCFF541FOB/	569941	ENCODE Processing Pipeline	5c5534a53fcd1f2fb2af51edbf2ee864		https://www.encodeproject.org/files/ENCFF273TNH/@@download/ENCFF273TNH.bed.gz				released	s3://encode-public/2020/08/13/935288cb-43ef-4841-abbf-f6f2c09635e4/ENCFF273TNH.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/08/13/935288cb-43ef-4841-abbf-f6f2c09635e4/ENCFF273TNH.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth	insufficient read depth, control insufficient read depth	missing control alignments
ENCFF678RAG	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DNI	TF ChIP-seq	/human-donors/ENCDO310AAA/, /human-donors/ENCDO309AAA/	UBERON:0002106	spleen	tissue	Homo sapiens										CTCF-human	DNA						2012-08-27	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF273TNH/	1088776	ENCODE Processing Pipeline	f64a505024731a4776a6caaeb67c34e8		https://www.encodeproject.org/files/ENCFF678RAG/@@download/ENCFF678RAG.bigBed				released	s3://encode-public/2020/08/13/7ac9cf4c-ae79-409d-b7b0-069493a8f59b/ENCFF678RAG.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/08/13/7ac9cf4c-ae79-409d-b7b0-069493a8f59b/ENCFF678RAG.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth	insufficient read depth, control insufficient read depth	missing control alignments
ENCFF612VSV	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DLB	TF ChIP-seq	/human-donors/ENCDO000ACD/	EFO:0005346	GM13977	cell line	Homo sapiens										CTCF-human	DNA						2012-08-27	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF171VBQ/, /files/ENCFF387MLU/, /files/ENCFF356LFX/, /files/ENCFF627PKX/	764469	ENCODE Processing Pipeline	20e81c2e503a1aee4d0d89f2777042c2		https://www.encodeproject.org/files/ENCFF612VSV/@@download/ENCFF612VSV.bed.gz				released	s3://encode-public/2020/09/26/133e40c8-26f1-4351-a30c-9b796208d4d9/ENCFF612VSV.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/26/133e40c8-26f1-4351-a30c-9b796208d4d9/ENCFF612VSV.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, control low read depth	insufficient read depth	extremely low read depth, missing control alignments
ENCFF254JUX	bigWig	bigWig		signal p-value	GRCh38	ENCSR000DLB	TF ChIP-seq	/human-donors/ENCDO000ACD/	EFO:0005346	GM13977	cell line	Homo sapiens										CTCF-human	DNA						2012-08-27	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF171VBQ/, /files/ENCFF387MLU/, /files/ENCFF627PKX/	411229643	ENCODE Processing Pipeline	cd013e593930349c2e033cf1fd88996c		https://www.encodeproject.org/files/ENCFF254JUX/@@download/ENCFF254JUX.bigWig				released	s3://encode-public/2020/09/26/8f5ecfc9-d845-4825-acda-b76a60e6e5d2/ENCFF254JUX.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/09/26/8f5ecfc9-d845-4825-acda-b76a60e6e5d2/ENCFF254JUX.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, control low read depth	insufficient read depth	extremely low read depth, missing control alignments
ENCFF528ESQ	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DLB	TF ChIP-seq	/human-donors/ENCDO000ACD/	EFO:0005346	GM13977	cell line	Homo sapiens										CTCF-human	DNA						2012-08-27	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF612VSV/	1436747	ENCODE Processing Pipeline	862e6f4b770678e0b6ebf2181d74647c		https://www.encodeproject.org/files/ENCFF528ESQ/@@download/ENCFF528ESQ.bigBed				released	s3://encode-public/2020/09/26/0fe47a61-f75c-46ca-b60c-c6daa4650d2b/ENCFF528ESQ.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/09/26/0fe47a61-f75c-46ca-b60c-c6daa4650d2b/ENCFF528ESQ.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, control low read depth	insufficient read depth	extremely low read depth, missing control alignments
